id,ano,area
questao_68,2024,CH
questao_70,2024,CH
questao_71,2024,CH
questao_73,2024,CH
questao_74,2024,CH
questao_75,2024,CH
questao_76,2024,CH
questao_77,2024,CH
questao_79,2024,CH
questao_80,2024,CH
questao_81,2024,CH
questao_82,2024,CH
questao_83,2024,CH
questao_84,2024,CH
questao_85,2024,CH
questao_86,2024,CH
questao_87,2024,CH
questao_88,2024,CH
questao_89,2024,CH
questao_90,2024,CH
questao_92,2024,CN
questao_94,2024,CN
questao_95,2024,CN
questao_96,2024,CN
questao_97,2024,CN
questao_98,2024,CN
questao_100,2024,CN
questao_107,2024,CN
questao_109,2024,CN
questao_112,2024,CN
questao_114,2024,CN
questao_115,2024,CN
questao_117,2024,CN
questao_119,2024,CN
questao_121,2024,CN
questao_127,2024,CN
questao_134,2024,CN
questao_136,2024,MT
questao_138,2024,MT
questao_140,2024,MT
questao_142,2024,MT
questao_143,2024,MT
questao_146,2024,MT
questao_147,2024,MT
questao_148,2024,MT
questao_150,2024,MT
questao_151,2024,MT
questao_152,2024,MT
questao_155,2024,MT
questao_158,2024,MT
questao_159,2024,MT
questao_160,2024,MT
questao_161,2024,MT
questao_162,2024,MT
questao_163,2024,MT
questao_164,2024,MT
questao_168,2024,MT
questao_169,2024,MT
questao_172,2024,MT
questao_173,2024,MT
questao_174,2024,MT
questao_175,2024,MT
questao_177,2024,MT
questao_178,2024,MT
